From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
611;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;9587;impassable;-1;-1;-1;-1;-1;;western alps
6635;9587;impassable;-1;-1;-1;-1;-1;;western alps
3641;11601;impassable;-1;-1;-1;-1;-1;;central alps
3641;658;impassable;-1;-1;-1;-1;-1;;central alps
6661;3662;impassable;-1;-1;-1;-1;-1;;eastern alps
3662;11587;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;3660;impassable;-1;-1;-1;-1;-1;;eastern alps
3660;6675;impassable;-1;-1;-1;-1;-1;;eastern alps
6675;9633;impassable;-1;-1;-1;-1;-1;;eastern alps
9633;9630;impassable;-1;-1;-1;-1;-1;;eastern alps
9630;11618;impassable;-1;-1;-1;-1;-1;;eastern alps
671;11634;impassable;-1;-1;-1;-1;-1;;austrian alps
671;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3675;668;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;6691;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;6687;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;9650;impassable;-1;-1;-1;-1;-1;;austrian alps
9650;3684;impassable;-1;-1;-1;-1;-1;;austrian alps
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk

7265;10201;sea;7479;-1;-1;-1;-1;;Palk Strait
12892;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
4435;4900;impassable;-1;-1;-1;-1;-1;;Himalayas
8010;2014;impassable;-1;-1;-1;-1;-1;;Himalayas
12860;2014;impassable;-1;-1;-1;-1;-1;;Himalayas
13325;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
13325;12884;impassable;-1;-1;-1;-1;-1;;Himalayas
13325;7316;impassable;-1;-1;-1;-1;-1;;Himalayas
12754;7316;impassable;-1;-1;-1;-1;-1;;Himalayas
10821;7273;impassable;-1;-1;-1;-1;-1;;Himalayas
10821;5042;impassable;-1;-1;-1;-1;-1;;Himalayas
13335;8005;impassable;-1;-1;-1;-1;-1;;Himalayas
12884;7273;impassable;-1;-1;-1;-1;-1;;Himalayas
5042;4973;impassable;-1;-1;-1;-1;-1;;Himalayas
7316;7273;impassable;-1;-1;-1;-1;-1;;Himalayas
12754;8005;impassable;-1;-1;-1;-1;-1;;Himalayas
5157;13315;impassable;-1;-1;-1;-1;-1;;Himalayas
10821;1970;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;2084;impassable;-1;-1;-1;-1;-1;;Himalayas
12763;1910;impassable;-1;-1;-1;-1;-1;;Himalayas
7847;5105;impassable;-1;-1;-1;-1;-1;;Himalayas
7847;8044;impassable;-1;-1;-1;-1;-1;;Himalayas
7847;4990;impassable;-1;-1;-1;-1;-1;;Himalayas
10813;8098;impassable;-1;-1;-1;-1;-1;;Himalayas
10735;8098;impassable;-1;-1;-1;-1;-1;;Himalayas
7049;8066;impassable;-1;-1;-1;-1;-1;;Himalayas
7049;1179;impassable;-1;-1;-1;-1;-1;;Himalayas
10108;1179;impassable;-1;-1;-1;-1;-1;;Himalayas
1179;8066;impassable;-1;-1;-1;-1;-1;;Himalayas
7917;5043;impassable;-1;-1;-1;-1;-1;;Himalayas
7917;8066;impassable;-1;-1;-1;-1;-1;;Himalayas
8098;8013;impassable;-1;-1;-1;-1;-1;;Himalayas
8066;12761;impassable;-1;-1;-1;-1;-1;;Himalayas
10173;12717;impassable;-1;-1;-1;-1;-1;;Himalayas
12761;8013;impassable;-1;-1;-1;-1;-1;;Himalayas
2041;10821;impassable;-1;-1;-1;-1;-1;;Himalayas
9991;7122;impassable;-1;-1;-1;-1;-1;;India Mandalay
997;7122;impassable;-1;-1;-1;-1;-1;;India Mandalay
997;11966;impassable;-1;-1;-1;-1;-1;;India Mandalay
997;3999;impassable;-1;-1;-1;-1;-1;;India Mandalay
10090;3999;impassable;-1;-1;-1;-1;-1;;India Mandalay
13321;4588;impassable;-1;-1;-1;-1;-1;;India Mandalay
13321;4087;impassable;-1;-1;-1;-1;-1;;India Mandalay
13320;4087;impassable;-1;-1;-1;-1;-1;;India Mandalay
13322;4087;impassable;-1;-1;-1;-1;-1;;India Mandalay
1996;1197;impassable;-1;-1;-1;-1;-1;;India Mandalay
7634;7179;impassable;-1;-1;-1;-1;-1;;India Bangladesh
10090;7179;impassable;-1;-1;-1;-1;-1;;India Bangladesh
997;9991;impassable;-1;-1;-1;-1;-1;;India Bangladesh
997;7179;impassable;-1;-1;-1;-1;-1;;India Bangladesh
12395;1581;impassable;-1;-1;-1;-1;-1;;North East India
1116;10810;impassable;-1;-1;-1;-1;-1;;North East India
10813;4990;impassable;-1;-1;-1;-1;-1;;Himalayas
4513;10428;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
4513;9946;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
11924;10116;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
11924;12462;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
11924;10060;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
11924;10428;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7090;11978;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7372;10255;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7372;4237;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
1622;10469;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
1622;12241;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7465;12241;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7428;12241;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7428;7372;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
10296;1317;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
10296;10756;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
1430;10296;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12180;1344;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12180;7310;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
1344;7310;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
1344;7436;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12779;1430;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12779;10756;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
10808;1268;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
8067;1268;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
8067;4315;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7363;4315;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;4315;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;7395;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;10274;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;7391;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;7447;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
12275;7395;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
10296;10259;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7497;12307;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7497;1510;impassable;-1;-1;-1;-1;-1;;Eastern Ghats
7288;7402;impassable;-1;-1;-1;-1;-1;;Western Ghats
7288;1321;impassable;-1;-1;-1;-1;-1;;Western Ghats
7288;4327;impassable;-1;-1;-1;-1;-1;;Western Ghats
7288;1238;impassable;-1;-1;-1;-1;-1;;Western Ghats
10130;1238;impassable;-1;-1;-1;-1;-1;;Western Ghats
10130;10274;impassable;-1;-1;-1;-1;-1;;Western Ghats
10130;12247;impassable;-1;-1;-1;-1;-1;;Western Ghats
10130;1409;impassable;-1;-1;-1;-1;-1;;Western Ghats
7395;7391;impassable;-1;-1;-1;-1;-1;;Western Ghats
4344;10190;impassable;-1;-1;-1;-1;-1;;Western Ghats
4344;7391;impassable;-1;-1;-1;-1;-1;;Western Ghats
7119;7013;impassable;-1;-1;-1;-1;-1;;Western Ghats
7232;10210;impassable;-1;-1;-1;-1;-1;;Western Ghats
7232;12182;impassable;-1;-1;-1;-1;-1;;Western Ghats
7232;13356;impassable;-1;-1;-1;-1;-1;;Western Ghats
7232;13257;impassable;-1;-1;-1;-1;-1;;Western Ghats
4395;13257;impassable;-1;-1;-1;-1;-1;;Western Ghats
4291;1273;impassable;-1;-1;-1;-1;-1;;Western Ghats
-1;-1;;-1;-1;-1;-1;-1;-1
